crop_path,source_image,x,y,w,h,area,circularity,solidity
cropped_colonies_gfp7\main_22__colony030.jpg,new_batch_202609\main\main_22.jpg,2000,1367,27,32,462.5,0.633,0.898
cropped_colonies_gfp7\main_22__colony031.jpg,new_batch_202609\main\main_22.jpg,1874,1285,22,31,505.5,0.755,0.94
cropped_colonies_gfp7\main_22__colony032.jpg,new_batch_202609\main\main_22.jpg,1562,1248,52,48,1498.5,0.551,0.827
cropped_colonies_gfp7\main_22__colony033.jpg,new_batch_202609\main\main_22.jpg,2417,1223,22,19,282.5,0.794,0.961
cropped_colonies_gfp7\main_22__colony034.jpg,new_batch_202609\main\main_22.jpg,822,1140,42,30,706.0,0.475,0.79
cropped_colonies_gfp7\main_22__colony035.jpg,new_batch_202609\main\main_22.jpg,1328,1137,32,41,893.5,0.573,0.892
cropped_colonies_gfp7\main_22__colony036.jpg,new_batch_202609\main\main_22.jpg,1798,1064,18,25,306.0,0.753,0.962
cropped_colonies_gfp7\main_22__colony037.jpg,new_batch_202609\main\main_22.jpg,1120,1025,32,43,970.0,0.515,0.882
cropped_colonies_gfp7\main_22__colony038.jpg,new_batch_202609\main\main_22.jpg,1864,1008,46,32,1173.0,0.658,0.915
cropped_colonies_gfp7\main_22__colony039.jpg,new_batch_202609\main\main_22.jpg,1461,988,18,19,250.5,0.85,0.965
cropped_colonies_gfp7\main_22__colony040.jpg,new_batch_202609\main\main_22.jpg,1056,944,20,20,320.5,0.715,0.937
cropped_colonies_gfp7\main_22__colony041.jpg,new_batch_202609\main\main_22.jpg,1252,874,43,32,954.0,0.665,0.912
cropped_colonies_gfp7\main_22__colony042.jpg,new_batch_202609\main\main_22.jpg,1664,781,42,35,948.0,0.576,0.837
